timestamp,namespace,pod,cpu(m),memory(Mi)
2026-01-24T04:36:26,minishop,gateway-service-68ff9dfb68-kmm59,113,192
2026-01-24T04:36:26,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:26,minishop,product-service-5b66b9564b-h8x4v,26,162
2026-01-24T04:36:28,minishop,gateway-service-68ff9dfb68-kmm59,113,192
2026-01-24T04:36:28,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:28,minishop,product-service-5b66b9564b-h8x4v,26,162
2026-01-24T04:36:31,minishop,gateway-service-68ff9dfb68-kmm59,113,192
2026-01-24T04:36:31,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:31,minishop,product-service-5b66b9564b-h8x4v,26,162
2026-01-24T04:36:33,minishop,gateway-service-68ff9dfb68-kmm59,113,192
2026-01-24T04:36:33,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:33,minishop,product-service-5b66b9564b-h8x4v,26,162
2026-01-24T04:36:36,minishop,gateway-service-68ff9dfb68-kmm59,113,192
2026-01-24T04:36:36,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:36,minishop,product-service-5b66b9564b-h8x4v,26,162
2026-01-24T04:36:39,minishop,gateway-service-68ff9dfb68-kmm59,113,192
2026-01-24T04:36:39,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:39,minishop,product-service-5b66b9564b-h8x4v,26,162
2026-01-24T04:36:41,minishop,gateway-service-68ff9dfb68-kmm59,113,192
2026-01-24T04:36:41,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:41,minishop,product-service-5b66b9564b-h8x4v,26,162
2026-01-24T04:36:44,minishop,gateway-service-68ff9dfb68-kmm59,113,192
2026-01-24T04:36:44,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:44,minishop,product-service-5b66b9564b-h8x4v,26,162
2026-01-24T04:36:46,minishop,gateway-service-68ff9dfb68-kmm59,146,192
2026-01-24T04:36:46,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:46,minishop,product-service-5b66b9564b-h8x4v,38,162
2026-01-24T04:36:49,minishop,gateway-service-68ff9dfb68-kmm59,146,192
2026-01-24T04:36:49,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:49,minishop,product-service-5b66b9564b-h8x4v,38,162
2026-01-24T04:36:51,minishop,gateway-service-68ff9dfb68-kmm59,146,192
2026-01-24T04:36:51,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:51,minishop,product-service-5b66b9564b-h8x4v,38,162
2026-01-24T04:36:54,minishop,gateway-service-68ff9dfb68-kmm59,146,192
2026-01-24T04:36:54,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:54,minishop,product-service-5b66b9564b-h8x4v,38,162
2026-01-24T04:36:56,minishop,gateway-service-68ff9dfb68-kmm59,146,192
2026-01-24T04:36:56,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:56,minishop,product-service-5b66b9564b-h8x4v,38,162
2026-01-24T04:36:58,minishop,gateway-service-68ff9dfb68-kmm59,146,192
2026-01-24T04:36:58,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:36:58,minishop,product-service-5b66b9564b-h8x4v,38,162
2026-01-24T04:37:01,minishop,gateway-service-68ff9dfb68-kmm59,146,192
2026-01-24T04:37:01,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:37:01,minishop,product-service-5b66b9564b-h8x4v,38,162
2026-01-24T04:37:03,minishop,gateway-service-68ff9dfb68-kmm59,146,192
2026-01-24T04:37:03,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:37:03,minishop,product-service-5b66b9564b-h8x4v,38,162
2026-01-24T04:37:06,minishop,gateway-service-68ff9dfb68-kmm59,146,192
2026-01-24T04:37:06,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:37:06,minishop,product-service-5b66b9564b-h8x4v,38,162
2026-01-24T04:37:08,minishop,gateway-service-68ff9dfb68-kmm59,146,192
2026-01-24T04:37:08,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:37:08,minishop,product-service-5b66b9564b-h8x4v,38,162
2026-01-24T04:37:11,minishop,gateway-service-68ff9dfb68-kmm59,146,192
2026-01-24T04:37:11,minishop,order-service-578dc67d78-bffmv,5,158
2026-01-24T04:37:11,minishop,product-service-5b66b9564b-h8x4v,38,162
