LAST SEEN   TYPE     REASON      OBJECT                MESSAGE
14m         Normal   Scheduled   pod/nettest           Successfully assigned minishop/nettest to minikube
14m         Normal   Pulled      pod/nettest           Container image "busybox:1.36" already present on machine
14m         Normal   Created     pod/nettest           Created container: nettest
14m         Normal   Started     pod/nettest           Started container nettest
6m20s       Normal   Scheduled   pod/nettest           Successfully assigned minishop/nettest to minikube
6m19s       Normal   Created     pod/nettest           Created container: nettest
6m19s       Normal   Pulled      pod/nettest           Container image "busybox:1.36" already present on machine
6m19s       Normal   Started     pod/nettest           Started container nettest
6m13s       Normal   Scheduled   pod/nettest           Successfully assigned minishop/nettest to minikube
6m13s       Normal   Pulled      pod/nettest           Container image "busybox:1.36" already present on machine
6m13s       Normal   Created     pod/nettest           Created container: nettest
6m12s       Normal   Started     pod/nettest           Started container nettest
6m7s        Normal   Scheduled   pod/fortio-ae906b5d   Successfully assigned minishop/fortio-ae906b5d to minikube
6m6s        Normal   Pulled      pod/fortio-ae906b5d   Container image "fortio/fortio:1.63.0" already present on machine
6m6s        Normal   Created     pod/fortio-ae906b5d   Created container: fortio-ae906b5d
6m5s        Normal   Started     pod/fortio-ae906b5d   Started container fortio-ae906b5d
5m54s       Normal   Scheduled   pod/fortio-5b61d8ca   Successfully assigned minishop/fortio-5b61d8ca to minikube
5m53s       Normal   Created     pod/fortio-5b61d8ca   Created container: fortio-5b61d8ca
5m53s       Normal   Started     pod/fortio-5b61d8ca   Started container fortio-5b61d8ca
5m53s       Normal   Pulled      pod/fortio-5b61d8ca   Container image "fortio/fortio:1.63.0" already present on machine
5m7s        Normal   Scheduled   pod/fortio-de25b071   Successfully assigned minishop/fortio-de25b071 to minikube
5m7s        Normal   Pulled      pod/fortio-de25b071   Container image "fortio/fortio:1.63.0" already present on machine
5m6s        Normal   Created     pod/fortio-de25b071   Created container: fortio-de25b071
5m6s        Normal   Started     pod/fortio-de25b071   Started container fortio-de25b071
4m57s       Normal   Scheduled   pod/fortio-a06f7d81   Successfully assigned minishop/fortio-a06f7d81 to minikube
4m56s       Normal   Created     pod/fortio-a06f7d81   Created container: fortio-a06f7d81
4m56s       Normal   Pulled      pod/fortio-a06f7d81   Container image "fortio/fortio:1.63.0" already present on machine
4m56s       Normal   Started     pod/fortio-a06f7d81   Started container fortio-a06f7d81
4m15s       Normal   Scheduled   pod/fortio-71edca08   Successfully assigned minishop/fortio-71edca08 to minikube
