timestamp,namespace,pod,cpu(m),memory(Mi)
2026-01-24T04:58:45,minishop,gateway-service-68ff9dfb68-4l79c,9,174
2026-01-24T04:58:45,minishop,gateway-service-68ff9dfb68-4ppdj,24,178
2026-01-24T04:58:45,minishop,gateway-service-68ff9dfb68-89grp,17,181
2026-01-24T04:58:45,minishop,gateway-service-68ff9dfb68-hvzqb,15,177
2026-01-24T04:58:45,minishop,gateway-service-68ff9dfb68-kmm59,9,192
2026-01-24T04:58:45,minishop,gateway-service-68ff9dfb68-z6rgf,7,176
2026-01-24T04:58:45,minishop,order-service-578dc67d78-bffmv,5,159
2026-01-24T04:58:45,minishop,product-service-5b66b9564b-h8x4v,9,163
2026-01-24T04:58:47,minishop,gateway-service-68ff9dfb68-4l79c,9,174
2026-01-24T04:58:47,minishop,gateway-service-68ff9dfb68-4ppdj,24,178
2026-01-24T04:58:47,minishop,gateway-service-68ff9dfb68-89grp,17,181
2026-01-24T04:58:47,minishop,gateway-service-68ff9dfb68-hvzqb,15,177
2026-01-24T04:58:47,minishop,gateway-service-68ff9dfb68-kmm59,9,192
2026-01-24T04:58:47,minishop,gateway-service-68ff9dfb68-z6rgf,7,176
2026-01-24T04:58:47,minishop,order-service-578dc67d78-bffmv,5,159
2026-01-24T04:58:47,minishop,product-service-5b66b9564b-h8x4v,9,163
2026-01-24T04:58:50,minishop,gateway-service-68ff9dfb68-4l79c,9,174
2026-01-24T04:58:50,minishop,gateway-service-68ff9dfb68-4ppdj,24,178
2026-01-24T04:58:50,minishop,gateway-service-68ff9dfb68-89grp,17,181
2026-01-24T04:58:50,minishop,gateway-service-68ff9dfb68-hvzqb,15,177
2026-01-24T04:58:50,minishop,gateway-service-68ff9dfb68-kmm59,9,192
2026-01-24T04:58:50,minishop,gateway-service-68ff9dfb68-z6rgf,7,176
2026-01-24T04:58:50,minishop,order-service-578dc67d78-bffmv,5,159
2026-01-24T04:58:50,minishop,product-service-5b66b9564b-h8x4v,9,163
