LAST SEEN   TYPE      REASON              OBJECT                                  MESSAGE
27m         Normal    Scheduled           pod/nettest                             Successfully assigned minishop/nettest to minikube
27m         Normal    Started             pod/nettest                             Started container nettest
27m         Normal    Pulled              pod/nettest                             Container image "busybox:1.36" already present on machine
27m         Normal    Created             pod/nettest                             Created container: nettest
19m         Normal    Scheduled           pod/nettest                             Successfully assigned minishop/nettest to minikube
19m         Normal    Created             pod/nettest                             Created container: nettest
19m         Normal    Pulled              pod/nettest                             Container image "busybox:1.36" already present on machine
19m         Normal    Started             pod/nettest                             Started container nettest
19m         Normal    Scheduled           pod/nettest                             Successfully assigned minishop/nettest to minikube
19m         Normal    Created             pod/nettest                             Created container: nettest
19m         Normal    Pulled              pod/nettest                             Container image "busybox:1.36" already present on machine
19m         Normal    Started             pod/nettest                             Started container nettest
19m         Normal    Scheduled           pod/fortio-ae906b5d                     Successfully assigned minishop/fortio-ae906b5d to minikube
19m         Normal    Pulled              pod/fortio-ae906b5d                     Container image "fortio/fortio:1.63.0" already present on machine
19m         Normal    Created             pod/fortio-ae906b5d                     Created container: fortio-ae906b5d
19m         Normal    Started             pod/fortio-ae906b5d                     Started container fortio-ae906b5d
19m         Normal    Scheduled           pod/fortio-5b61d8ca                     Successfully assigned minishop/fortio-5b61d8ca to minikube
19m         Normal    Created             pod/fortio-5b61d8ca                     Created container: fortio-5b61d8ca
19m         Normal    Pulled              pod/fortio-5b61d8ca                     Container image "fortio/fortio:1.63.0" already present on machine
19m         Normal    Started             pod/fortio-5b61d8ca                     Started container fortio-5b61d8ca
18m         Normal    Scheduled           pod/fortio-de25b071                     Successfully assigned minishop/fortio-de25b071 to minikube
18m         Normal    Pulled              pod/fortio-de25b071                     Container image "fortio/fortio:1.63.0" already present on machine
18m         Normal    Started             pod/fortio-de25b071                     Started container fortio-de25b071
18m         Normal    Created             pod/fortio-de25b071                     Created container: fortio-de25b071
18m         Normal    Scheduled           pod/fortio-a06f7d81                     Successfully assigned minishop/fortio-a06f7d81 to minikube
18m         Normal    Started             pod/fortio-a06f7d81                     Started container fortio-a06f7d81
18m         Normal    Pulled              pod/fortio-a06f7d81                     Container image "fortio/fortio:1.63.0" already present on machine
18m         Normal    Created             pod/fortio-a06f7d81                     Created container: fortio-a06f7d81
17m         Normal    Scheduled           pod/fortio-71edca08                     Successfully assigned minishop/fortio-71edca08 to minikube
17m         Normal    Pulled              pod/fortio-71edca08                     Container image "fortio/fortio:1.63.0" already present on machine
17m         Normal    Started             pod/fortio-71edca08                     Started container fortio-71edca08
17m         Normal    Created             pod/fortio-71edca08                     Created container: fortio-71edca08
17m         Normal    Scheduled           pod/fortio-036dab72                     Successfully assigned minishop/fortio-036dab72 to minikube
17m         Normal    Pulled              pod/fortio-036dab72                     Container image "fortio/fortio:1.63.0" already present on machine
17m         Normal    Created             pod/fortio-036dab72                     Created container: fortio-036dab72
17m         Normal    Started             pod/fortio-036dab72                     Started container fortio-036dab72
16m         Normal    Scheduled           pod/fortio-fe80b693                     Successfully assigned minishop/fortio-fe80b693 to minikube
16m         Normal    Pulled              pod/fortio-fe80b693                     Container image "fortio/fortio:1.63.0" already present on machine
