timestamp,namespace,pod,cpu(m),memory(Mi)
2026-01-24T04:56:05,minishop,gateway-service-68ff9dfb68-4l79c,18,173
2026-01-24T04:56:05,minishop,gateway-service-68ff9dfb68-4ppdj,9,178
2026-01-24T04:56:05,minishop,gateway-service-68ff9dfb68-89grp,81,178
2026-01-24T04:56:05,minishop,gateway-service-68ff9dfb68-hvzqb,33,176
2026-01-24T04:56:05,minishop,gateway-service-68ff9dfb68-kmm59,20,192
2026-01-24T04:56:05,minishop,gateway-service-68ff9dfb68-z6rgf,53,176
2026-01-24T04:56:05,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:56:05,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T04:56:07,minishop,gateway-service-68ff9dfb68-4l79c,18,173
2026-01-24T04:56:07,minishop,gateway-service-68ff9dfb68-4ppdj,9,178
2026-01-24T04:56:07,minishop,gateway-service-68ff9dfb68-89grp,81,178
2026-01-24T04:56:07,minishop,gateway-service-68ff9dfb68-hvzqb,33,176
2026-01-24T04:56:07,minishop,gateway-service-68ff9dfb68-kmm59,20,192
2026-01-24T04:56:07,minishop,gateway-service-68ff9dfb68-z6rgf,53,176
2026-01-24T04:56:07,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:56:07,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T04:56:10,minishop,gateway-service-68ff9dfb68-4l79c,18,173
2026-01-24T04:56:10,minishop,gateway-service-68ff9dfb68-4ppdj,9,178
2026-01-24T04:56:10,minishop,gateway-service-68ff9dfb68-89grp,81,178
2026-01-24T04:56:10,minishop,gateway-service-68ff9dfb68-hvzqb,33,176
2026-01-24T04:56:10,minishop,gateway-service-68ff9dfb68-kmm59,20,192
2026-01-24T04:56:10,minishop,gateway-service-68ff9dfb68-z6rgf,53,176
2026-01-24T04:56:10,minishop,order-service-578dc67d78-bffmv,4,158
2026-01-24T04:56:10,minishop,product-service-5b66b9564b-h8x4v,23,163
2026-01-24T04:56:12,minishop,gateway-service-68ff9dfb68-4l79c,18,173
2026-01-24T04:56:12,minishop,gateway-service-68ff9dfb68-4ppdj,9,178
