timestamp,namespace,pod,cpu(m),memory(Mi)
2026-01-24T04:44:25,minishop,gateway-service-68ff9dfb68-4l79c,242,159
2026-01-24T04:44:25,minishop,gateway-service-68ff9dfb68-hvzqb,203,156
2026-01-24T04:44:25,minishop,gateway-service-68ff9dfb68-kmm59,39,192
2026-01-24T04:44:25,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:44:25,minishop,product-service-5b66b9564b-h8x4v,31,162
2026-01-24T04:44:28,minishop,gateway-service-68ff9dfb68-4l79c,242,159
2026-01-24T04:44:28,minishop,gateway-service-68ff9dfb68-hvzqb,203,156
2026-01-24T04:44:28,minishop,gateway-service-68ff9dfb68-kmm59,39,192
2026-01-24T04:44:28,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:44:28,minishop,product-service-5b66b9564b-h8x4v,31,162
2026-01-24T04:44:31,minishop,gateway-service-68ff9dfb68-4l79c,242,159
2026-01-24T04:44:31,minishop,gateway-service-68ff9dfb68-hvzqb,203,156
2026-01-24T04:44:31,minishop,gateway-service-68ff9dfb68-kmm59,39,192
2026-01-24T04:44:31,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:44:31,minishop,product-service-5b66b9564b-h8x4v,31,162
2026-01-24T04:44:33,minishop,gateway-service-68ff9dfb68-4l79c,242,159
2026-01-24T04:44:33,minishop,gateway-service-68ff9dfb68-hvzqb,203,156
2026-01-24T04:44:33,minishop,gateway-service-68ff9dfb68-kmm59,39,192
2026-01-24T04:44:33,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:44:33,minishop,product-service-5b66b9564b-h8x4v,31,162
2026-01-24T04:44:36,minishop,gateway-service-68ff9dfb68-4l79c,242,159
2026-01-24T04:44:36,minishop,gateway-service-68ff9dfb68-hvzqb,203,156
2026-01-24T04:44:36,minishop,gateway-service-68ff9dfb68-kmm59,39,192
2026-01-24T04:44:36,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:44:36,minishop,product-service-5b66b9564b-h8x4v,31,162
2026-01-24T04:44:38,minishop,gateway-service-68ff9dfb68-4l79c,242,159
2026-01-24T04:44:38,minishop,gateway-service-68ff9dfb68-hvzqb,203,156
2026-01-24T04:44:38,minishop,gateway-service-68ff9dfb68-kmm59,39,192
2026-01-24T04:44:38,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:44:38,minishop,product-service-5b66b9564b-h8x4v,31,162
2026-01-24T04:44:41,minishop,gateway-service-68ff9dfb68-4l79c,242,159
2026-01-24T04:44:41,minishop,gateway-service-68ff9dfb68-hvzqb,203,156
2026-01-24T04:44:41,minishop,gateway-service-68ff9dfb68-kmm59,39,192
2026-01-24T04:44:41,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:44:41,minishop,product-service-5b66b9564b-h8x4v,31,162
2026-01-24T04:44:43,minishop,gateway-service-68ff9dfb68-4l79c,242,159
2026-01-24T04:44:43,minishop,gateway-service-68ff9dfb68-hvzqb,203,156
2026-01-24T04:44:43,minishop,gateway-service-68ff9dfb68-kmm59,39,192
2026-01-24T04:44:43,minishop,order-service-578dc67d78-bffmv,6,158
2026-01-24T04:44:43,minishop,product-service-5b66b9564b-h8x4v,31,162
2026-01-24T04:44:46,minishop,gateway-service-68ff9dfb68-4l79c,168,165
2026-01-24T04:44:46,minishop,gateway-service-68ff9dfb68-hvzqb,277,163
2026-01-24T04:44:46,minishop,gateway-service-68ff9dfb68-kmm59,62,192
2026-01-24T04:44:46,minishop,order-service-578dc67d78-bffmv,9,158
2026-01-24T04:44:46,minishop,product-service-5b66b9564b-h8x4v,48,162
2026-01-24T04:44:48,minishop,gateway-service-68ff9dfb68-4l79c,168,165
2026-01-24T04:44:48,minishop,gateway-service-68ff9dfb68-hvzqb,277,163
2026-01-24T04:44:48,minishop,gateway-service-68ff9dfb68-kmm59,62,192
2026-01-24T04:44:48,minishop,order-service-578dc67d78-bffmv,9,158
2026-01-24T04:44:48,minishop,product-service-5b66b9564b-h8x4v,48,162
2026-01-24T04:44:51,minishop,gateway-service-68ff9dfb68-4l79c,168,165
2026-01-24T04:44:51,minishop,gateway-service-68ff9dfb68-hvzqb,277,163
2026-01-24T04:44:51,minishop,gateway-service-68ff9dfb68-kmm59,62,192
2026-01-24T04:44:51,minishop,order-service-578dc67d78-bffmv,9,158
2026-01-24T04:44:51,minishop,product-service-5b66b9564b-h8x4v,48,162
2026-01-24T04:44:54,minishop,gateway-service-68ff9dfb68-4l79c,168,165
2026-01-24T04:44:54,minishop,gateway-service-68ff9dfb68-hvzqb,277,163
2026-01-24T04:44:54,minishop,gateway-service-68ff9dfb68-kmm59,62,192
2026-01-24T04:44:54,minishop,order-service-578dc67d78-bffmv,9,158
2026-01-24T04:44:54,minishop,product-service-5b66b9564b-h8x4v,48,162
2026-01-24T04:44:57,minishop,gateway-service-68ff9dfb68-4l79c,168,165
2026-01-24T04:44:57,minishop,gateway-service-68ff9dfb68-hvzqb,277,163
2026-01-24T04:44:57,minishop,gateway-service-68ff9dfb68-kmm59,62,192
2026-01-24T04:44:57,minishop,order-service-578dc67d78-bffmv,9,158
2026-01-24T04:44:57,minishop,product-service-5b66b9564b-h8x4v,48,162
2026-01-24T04:45:00,minishop,gateway-service-68ff9dfb68-4l79c,168,165
2026-01-24T04:45:00,minishop,gateway-service-68ff9dfb68-hvzqb,277,163
2026-01-24T04:45:00,minishop,gateway-service-68ff9dfb68-kmm59,62,192
2026-01-24T04:45:00,minishop,order-service-578dc67d78-bffmv,9,158
2026-01-24T04:45:00,minishop,product-service-5b66b9564b-h8x4v,48,162
2026-01-24T04:45:03,minishop,gateway-service-68ff9dfb68-4l79c,168,165
2026-01-24T04:45:03,minishop,gateway-service-68ff9dfb68-hvzqb,277,163
2026-01-24T04:45:03,minishop,gateway-service-68ff9dfb68-kmm59,62,192
2026-01-24T04:45:03,minishop,order-service-578dc67d78-bffmv,9,158
2026-01-24T04:45:03,minishop,product-service-5b66b9564b-h8x4v,48,162
2026-01-24T04:45:07,minishop,gateway-service-68ff9dfb68-4l79c,168,165
2026-01-24T04:45:07,minishop,gateway-service-68ff9dfb68-hvzqb,277,163
2026-01-24T04:45:07,minishop,gateway-service-68ff9dfb68-kmm59,62,192
2026-01-24T04:45:07,minishop,order-service-578dc67d78-bffmv,9,158
2026-01-24T04:45:07,minishop,product-service-5b66b9564b-h8x4v,48,162
2026-01-24T04:45:10,minishop,gateway-service-68ff9dfb68-4l79c,168,165
