NAME                               CPU(cores)   MEMORY(bytes)   
gateway-service-68ff9dfb68-kmm59   5m           238Mi           
gateway-service-68ff9dfb68-tm95v   12m          164Mi           
gateway-service-68ff9dfb68-z8dgl   11m          159Mi           
gateway-service-68ff9dfb68-zr9kw   15m          176Mi           
order-service-578dc67d78-72wvq     16m          134Mi           
order-service-578dc67d78-bffmv     4m           184Mi           
order-service-578dc67d78-gqgdt     7m           136Mi           
product-service-5b66b9564b-pklfg   5m           156Mi           
product-service-5b66b9564b-sp2j6   6m           130Mi           
product-service-5b66b9564b-vbvf5   6m           132Mi           
