NAME                               CPU(cores)   MEMORY(bytes)   
gateway-service-68ff9dfb68-kmm59   6m           239Mi           
gateway-service-68ff9dfb68-tm95v   30m          167Mi           
gateway-service-68ff9dfb68-z8dgl   21m          170Mi           
gateway-service-68ff9dfb68-zr9kw   9m           173Mi           
order-service-578dc67d78-72wvq     6m           135Mi           
order-service-578dc67d78-bffmv     5m           184Mi           
order-service-578dc67d78-gqgdt     6m           139Mi           
product-service-5b66b9564b-pklfg   5m           157Mi           
product-service-5b66b9564b-sp2j6   6m           133Mi           
product-service-5b66b9564b-vbvf5   7m           133Mi           
