LAST SEEN   TYPE     REASON      OBJECT                       MESSAGE
3m33s       Normal   Scheduled   pod/nettest                  Successfully assigned minishop/nettest to minikube
3m32s       Normal   Started     pod/nettest                  Started container nettest
3m32s       Normal   Created     pod/nettest                  Created container: nettest
3m32s       Normal   Pulled      pod/nettest                  Container image "busybox:1.36" already present on machine
3m27s       Normal   Scheduled   pod/fortio-warmup-f7ad20e4   Successfully assigned minishop/fortio-warmup-f7ad20e4 to minikube
3m25s       Normal   Pulling     pod/fortio-warmup-f7ad20e4   Pulling image "fortio/fortio:latest"
3m24s       Normal   Pulled      pod/fortio-warmup-f7ad20e4   Successfully pulled image "fortio/fortio:latest" in 1.49s (1.49s including waiting). Image size: 19001528 bytes.
3m24s       Normal   Created     pod/fortio-warmup-f7ad20e4   Created container: fortio-warmup-f7ad20e4
3m23s       Normal   Started     pod/fortio-warmup-f7ad20e4   Started container fortio-warmup-f7ad20e4
3m10s       Normal   Scheduled   pod/fortio-low-1-de61f0c5    Successfully assigned minishop/fortio-low-1-de61f0c5 to minikube
3m9s        Normal   Pulling     pod/fortio-low-1-de61f0c5    Pulling image "fortio/fortio:latest"
3m7s        Normal   Started     pod/fortio-low-1-de61f0c5    Started container fortio-low-1-de61f0c5
3m7s        Normal   Created     pod/fortio-low-1-de61f0c5    Created container: fortio-low-1-de61f0c5
3m7s        Normal   Pulled      pod/fortio-low-1-de61f0c5    Successfully pulled image "fortio/fortio:latest" in 1.478s (1.478s including waiting). Image size: 19001528 bytes.
118s        Normal   Scheduled   pod/fortio-spike-08a72f53    Successfully assigned minishop/fortio-spike-08a72f53 to minikube
116s        Normal   Pulling     pod/fortio-spike-08a72f53    Pulling image "fortio/fortio:latest"
114s        Normal   Pulled      pod/fortio-spike-08a72f53    Successfully pulled image "fortio/fortio:latest" in 1.447s (1.447s including waiting). Image size: 19001528 bytes.
114s        Normal   Started     pod/fortio-spike-08a72f53    Started container fortio-spike-08a72f53
114s        Normal   Created     pod/fortio-spike-08a72f53    Created container: fortio-spike-08a72f53
75s         Normal   Scheduled   pod/fortio-low-2-7d35012f    Successfully assigned minishop/fortio-low-2-7d35012f to minikube
74s         Normal   Pulling     pod/fortio-low-2-7d35012f    Pulling image "fortio/fortio:latest"
73s         Normal   Pulled      pod/fortio-low-2-7d35012f    Successfully pulled image "fortio/fortio:latest" in 1.379s (1.379s including waiting). Image size: 19001528 bytes.
72s         Normal   Started     pod/fortio-low-2-7d35012f    Started container fortio-low-2-7d35012f
72s         Normal   Created     pod/fortio-low-2-7d35012f    Created container: fortio-low-2-7d35012f
2s          Normal   Scheduled   pod/fortio-warmup-e0147c63   Successfully assigned minishop/fortio-warmup-e0147c63 to minikube
1s          Normal   Pulling     pod/fortio-warmup-e0147c63   Pulling image "fortio/fortio:latest"
