NAME                               CPU(cores)   MEMORY(bytes)   
gateway-service-68ff9dfb68-kmm59   9m           238Mi           
gateway-service-68ff9dfb68-tm95v   270m         136Mi           
gateway-service-68ff9dfb68-z8dgl   286m         138Mi           
gateway-service-68ff9dfb68-zr9kw   279m         143Mi           
order-service-578dc67d78-72wvq     263m         130Mi           
order-service-578dc67d78-bffmv     6m           184Mi           
order-service-578dc67d78-gqgdt     261m         131Mi           
product-service-5b66b9564b-pklfg   4m           156Mi           
product-service-5b66b9564b-sp2j6   250m         126Mi           
product-service-5b66b9564b-vbvf5   268m         128Mi           
