NAME                               CPU(cores)   MEMORY(bytes)   
gateway-service-68ff9dfb68-kmm59   14m          238Mi           
gateway-service-68ff9dfb68-tm95v   427m         81Mi            
gateway-service-68ff9dfb68-z8dgl   423m         85Mi            
gateway-service-68ff9dfb68-zr9kw   418m         85Mi            
order-service-578dc67d78-72wvq     430m         76Mi            
order-service-578dc67d78-bffmv     4m           184Mi           
order-service-578dc67d78-gqgdt     431m         87Mi            
product-service-5b66b9564b-pklfg   3m           156Mi           
product-service-5b66b9564b-sp2j6   423m         78Mi            
product-service-5b66b9564b-vbvf5   426m         84Mi            
