NAME                               CPU(cores)   MEMORY(bytes)   
gateway-service-68ff9dfb68-kmm59   18m          238Mi           
gateway-service-68ff9dfb68-tm95v   53m          153Mi           
gateway-service-68ff9dfb68-z8dgl   62m          158Mi           
gateway-service-68ff9dfb68-zr9kw   80m          175Mi           
order-service-578dc67d78-72wvq     9m           133Mi           
order-service-578dc67d78-bffmv     10m          184Mi           
order-service-578dc67d78-gqgdt     9m           134Mi           
product-service-5b66b9564b-pklfg   4m           156Mi           
product-service-5b66b9564b-sp2j6   7m           129Mi           
product-service-5b66b9564b-vbvf5   10m          131Mi           
