"pattern","strategy","rep","segment","qps_req","qps_act","count","avg_ms","p50_ms","p90_ms","p99_ms","max_ms","code200","errors","start","file"
"daynight","baseline","rep1","day","30","29.97","2700","16.646","4.503","30.714","208.333","916.911","2700","0","2026-01-26T21:57:09.590200444Z","daynight\baseline\rep1\fortio_day.json"
"daynight","baseline","rep1","night_1","10","9.983","600","55.536","11.429","170","281.818","301.782","600","0","2026-01-26T21:55:57.908681168Z","daynight\baseline\rep1\fortio_night_1.json"
"daynight","baseline","rep1","night_2","10","9.999","600","4.821","3.463","6.481","43.333","93.993","600","0","2026-01-26T21:58:53.453465948Z","daynight\baseline\rep1\fortio_night_2.json"
"daynight","baseline","rep1","warmup","10","9.623","50","75.943","50","188.571","200.348","200.696","50","0","2026-01-26T21:55:40.313468383Z","daynight\baseline\rep1\fortio_warmup.json"
"daynight","baseline","rep2","day","30","29.999","2700","4.615","2.802","5.238","44.038","88.797","2700","0","2026-01-26T22:03:32.637692799Z","daynight\baseline\rep2\fortio_day.json"
"daynight","baseline","rep2","night_1","10","9.999","600","4.327","3.481","5.844","16","58.642","600","0","2026-01-26T22:02:21.161969393Z","daynight\baseline\rep2\fortio_night_1.json"
"daynight","baseline","rep2","night_2","10","9.999","600","5.45","2.525","4.917","98.333","195.044","600","0","2026-01-26T22:05:13.571933741Z","daynight\baseline\rep2\fortio_night_2.json"
"daynight","baseline","rep2","warmup","10","9.992","50","7.044","4.222","12.667","74.765","79.531","50","0","2026-01-26T22:02:05.179105933Z","daynight\baseline\rep2\fortio_warmup.json"
"daynight","baseline","rep3","day","30","29.997","2700","2.793","2.137","3.022","10.333","181.842","2700","0","2026-01-26T22:07:52.168383679Z","daynight\baseline\rep3\fortio_day.json"
"daynight","baseline","rep3","night_1","10","9.999","600","3.259","2.354","3.909","45","49.869","600","0","2026-01-26T22:06:40.75699765Z","daynight\baseline\rep3\fortio_night_1.json"
"daynight","baseline","rep3","night_2","10","9.999","600","2.286","2.202","3.292","5.4","7.808","600","0","2026-01-26T22:09:34.419798948Z","daynight\baseline\rep3\fortio_night_2.json"
"daynight","baseline","rep3","warmup","10","9.983","50","3.113","3.12","3.92","7.014","7.028","50","0","2026-01-26T22:06:24.984066921Z","daynight\baseline\rep3\fortio_warmup.json"
"daynight","hybrid","rep1","day","30","29.998","2700","2.368","2.118","3.141","6.947","77.074","2700","0","2026-01-26T22:16:50.067945645Z","daynight\hybrid\rep1\fortio_day.json"
"daynight","hybrid","rep1","night_1","10","9.999","600","2.315","2.243","3.164","6","10.595","600","0","2026-01-26T22:15:38.27359616Z","daynight\hybrid\rep1\fortio_night_1.json"
"daynight","hybrid","rep1","night_2","10","9.999","600","3.329","2.319","3.828","25","103.458","600","0","2026-01-26T22:18:34.408523391Z","daynight\hybrid\rep1\fortio_night_2.json"
"daynight","hybrid","rep1","warmup","10","9.991","50","2.438","2.452","3.301","3.754","3.804","50","0","2026-01-26T22:15:21.834535047Z","daynight\hybrid\rep1\fortio_warmup.json"
"daynight","hybrid","rep2","day","30","29.997","2700","2.277","2.014","2.992","7.75","11.668","2700","0","2026-01-26T22:21:15.671633549Z","daynight\hybrid\rep2\fortio_day.json"
"daynight","hybrid","rep2","night_1","10","9.999","600","2.62","2.161","3.367","7.625","72.891","600","0","2026-01-26T22:20:03.426531103Z","daynight\hybrid\rep2\fortio_night_1.json"
