"pattern","strategy","segment","reps","avg_mean","avg_std","p99_mean","p99_std","qps_mean","qps_std"
"daynight","baseline","day","1","2.337","0","8.4","0","29.998","0"
"daynight","baseline","night_1","1","1.824","0","4.354","0","9.999","0"
"daynight","baseline","night_2","1","2.047","0","6.181","0","10","0"
"daynight","baseline","warmup","3","1.88","0.209","3.299","1.248","9.994","0.001"
"daynight","hybrid","day","3","2.056","0.169","7.028","0.614","29.999","0"
"daynight","hybrid","night_1","1","1.893","0","3.9","0","9.999","0"
"daynight","hybrid","night_2","2","2.028","0.325","7.746","6.723","10","0.001"
"daynight","hybrid","warmup","1","3.702","0","12.091","0","9.993","0"
"daynight","proactive","day","2","2.812","0.257","9.98","2.543","29.999","0"
"daynight","proactive","night_1","2","2.718","0.039","9","1.414","10","0.001"
"daynight","proactive","night_2","1","4.307","0","25","0","9.988","0"
"daynight","proactive","warmup","2","3.924","0.547","8.788","3.145","9.985","0"
"daynight","reactive","day","3","2.104","0.111","8.744","1.402","29.999","0"
"daynight","reactive","night_1","3","2.229","0.344","7.722","2.429","9.999","0.001"
"daynight","reactive","night_2","3","2.019","0.102","5.896","1.741","9.999","0.001"
"daynight","reactive","warmup","2","2.561","0.665","7.483","5.568","9.984","0.012"
"spike","baseline","low_1","3","13.154","19.027","456.989","780.995","9.999","0"
"spike","baseline","low_2","2","2.557","0.636","6.958","3.241","10","0.001"
"spike","baseline","spike","1","2.121","0","6.462","0","59.994","0"
"spike","baseline","warmup","3","2.177","0.122","3.526","0.928","9.992","0.001"
"spike","hybrid","low_1","1","1.954","0","4.667","0","9.999","0"
"spike","hybrid","low_2","1","2.298","0","5.5","0","9.999","0"
"spike","hybrid","spike","3","2.503","0.437","12.528","6.551","59.992","0.002"
"spike","hybrid","warmup","3","2.7","0.514","6.578","2.261","9.988","0.008"
"spike","proactive","low_1","3","3.098","2.026","8.919","4.556","9.999","0"
"spike","proactive","low_2","3","10.446","8.478","65.778","54.749","9.995","0.006"
"spike","proactive","spike","1","7.114","0","58.462","0","59.969","0"
"spike","proactive","warmup","2","23.972","21.714","123.831","59.841","9.916","0.104"
"spike","reactive","low_1","3","2.592","0.841","17.017","18.469","9.999","0.001"
"spike","reactive","low_2","3","2.013","0.108","5.413","1.538","9.999","0.001"
"spike","reactive","spike","3","2.309","0.24","9.406","2.245","59.994","0.001"
"spike","reactive","warmup","2","1.846","0.087","3.344","0.951","9.994","0.001"
