pattern,strategy,segment,rep,avg_ms,p50_ms,p90_ms,p99_ms,qps_act,errors,url
daynight,baseline,day,1,59.031,51.947,112.136,213.636,29.968,0,http://gateway-service:8081/api/summary
daynight,baseline,night_1,1,62.027,58.333,112.857,196.364,9.984,0,http://gateway-service:8081/api/summary
daynight,baseline,night_2,1,54.149,47.381,109.176,165.0,9.971,0,http://gateway-service:8081/api/summary
daynight,baseline,day,2,50.639,41.106,104.138,187.143,29.968,0,http://gateway-service:8081/api/summary
daynight,baseline,night_1,2,59.698,51.212,111.714,255.546,10.0,0,http://gateway-service:8081/api/summary
daynight,baseline,night_2,2,45.299,34.545,97.447,120.0,9.985,0,http://gateway-service:8081/api/summary
daynight,baseline,day,3,43.991,30.926,97.073,119.898,29.969,0,http://gateway-service:8081/api/summary
daynight,baseline,night_1,3,49.416,38.684,103.158,182.066,9.984,0,http://gateway-service:8081/api/summary
daynight,baseline,night_2,3,46.09,33.636,99.792,120.0,10.0,0,http://gateway-service:8081/api/summary
daynight,hybrid,day,1,19.075,12.215,33.375,111.034,29.994,0,http://gateway-service:8081/api/summary
daynight,hybrid,night_1,1,18.411,11.732,28.333,112.308,9.997,0,http://gateway-service:8081/api/summary
daynight,hybrid,night_2,1,17.756,12.161,24.872,108.889,10.0,0,http://gateway-service:8081/api/summary
daynight,hybrid,day,2,13.614,10.57,18.583,82.667,29.996,0,http://gateway-service:8081/api/summary
daynight,hybrid,night_1,2,15.723,10.759,23.0,92.5,10.0,0,http://gateway-service:8081/api/summary
daynight,hybrid,night_2,2,15.889,11.161,23.519,100.0,9.996,0,http://gateway-service:8081/api/summary
daynight,hybrid,day,3,16.689,11.575,22.5,104.706,29.995,0,http://gateway-service:8081/api/summary
daynight,hybrid,night_1,3,17.338,11.662,26.875,97.222,9.997,0,http://gateway-service:8081/api/summary
daynight,hybrid,night_2,3,21.172,13.463,39.333,130.0,9.996,0,http://gateway-service:8081/api/summary
daynight,proactive,day,1,16.958,11.202,22.267,105.714,30.0,0,http://gateway-service:8081/api/summary
daynight,proactive,night_1,1,29.988,13.855,87.5,200.0,9.998,0,http://gateway-service:8081/api/summary
daynight,proactive,night_2,1,12.595,10.571,15.156,74.0,10.0,0,http://gateway-service:8081/api/summary
daynight,proactive,day,2,17.236,11.279,25.581,110.0,29.995,0,http://gateway-service:8081/api/summary
daynight,proactive,night_1,2,14.392,11.222,17.938,86.667,9.998,0,http://gateway-service:8081/api/summary
daynight,proactive,night_2,2,15.522,10.833,18.875,89.412,9.986,0,http://gateway-service:8081/api/summary
daynight,proactive,day,3,19.384,11.859,34.677,117.391,30.0,0,http://gateway-service:8081/api/summary
daynight,proactive,night_1,3,17.525,10.952,32.857,95.626,10.0,0,http://gateway-service:8081/api/summary
daynight,proactive,night_2,3,20.417,12.393,28.75,181.839,10.0,0,http://gateway-service:8081/api/summary
daynight,reactive,day,1,36.158,18.065,92.917,180.0,29.977,0,http://gateway-service:8081/api/summary
daynight,reactive,night_1,1,147.633,53.684,379.167,1500.0,9.997,0,http://gateway-service:8081/api/summary
daynight,reactive,night_2,1,38.844,19.965,91.081,117.5,9.983,0,http://gateway-service:8081/api/summary
daynight,reactive,day,2,34.776,16.221,92.211,246.774,29.994,0,http://gateway-service:8081/api/summary
daynight,reactive,night_1,2,25.098,17.0,51.111,115.385,9.986,0,http://gateway-service:8081/api/summary
daynight,reactive,night_2,2,55.223,31.667,115.263,229.167,9.984,0,http://gateway-service:8081/api/summary
daynight,reactive,day,3,60.265,28.991,138.082,287.879,30.0,0,http://gateway-service:8081/api/summary
daynight,reactive,night_1,3,60.394,41.892,115.094,275.0,9.981,0,http://gateway-service:8081/api/summary
daynight,reactive,night_2,3,30.932,16.562,80.526,190.149,9.985,0,http://gateway-service:8081/api/summary
spike,baseline,low_1,1,332.286,323.109,482.927,629.666,9.934,0,http://gateway-service:8081/api/summary
spike,baseline,low_2,1,175.584,173.333,284.459,375.0,10.0,0,http://gateway-service:8081/api/summary
spike,baseline,spike,1,377.412,365.184,518.312,660.067,26.457,0,http://gateway-service:8081/api/summary
spike,baseline,low_1,2,121.823,113.077,212.308,308.64,9.966,0,http://gateway-service:8081/api/summary
spike,baseline,low_2,2,84.397,79.524,153.684,250.0,9.982,0,http://gateway-service:8081/api/summary
spike,baseline,spike,2,252.133,246.391,343.393,475.179,39.567,0,http://gateway-service:8081/api/summary
spike,baseline,low_1,3,85.428,81.667,159.0,246.875,9.982,0,http://gateway-service:8081/api/summary
spike,baseline,low_2,3,63.22,60.0,114.091,180.0,10.0,0,http://gateway-service:8081/api/summary
spike,baseline,spike,3,235.584,226.809,335.404,545.857,60.0,0,http://gateway-service:8081/api/summary
spike,hybrid,low_1,1,16.413,10.382,17.75,115.0,9.997,0,http://gateway-service:8081/api/summary
spike,hybrid,low_2,1,13.505,10.718,19.429,90.0,10.0,0,http://gateway-service:8081/api/summary
spike,hybrid,spike,1,13.138,10.337,16.441,70.0,59.967,0,http://gateway-service:8081/api/summary
spike,hybrid,low_1,2,12.396,10.01,16.133,70.311,9.998,0,http://gateway-service:8081/api/summary
spike,hybrid,low_2,2,13.067,10.578,17.5,56.667,9.998,0,http://gateway-service:8081/api/summary
spike,hybrid,spike,2,24.019,11.69,60.294,191.25,59.956,0,http://gateway-service:8081/api/summary
spike,hybrid,low_1,3,15.695,11.175,20.952,96.667,9.998,0,http://gateway-service:8081/api/summary
spike,hybrid,low_2,3,28.441,14.691,80.667,191.429,9.984,0,http://gateway-service:8081/api/summary
spike,hybrid,spike,3,21.255,11.942,49.0,122.0,60.0,0,http://gateway-service:8081/api/summary
spike,proactive,low_1,1,61.907,15.908,160.0,750.0,9.984,0,http://gateway-service:8081/api/summary
spike,proactive,low_2,1,15.001,11.891,19.04,76.429,9.996,0,http://gateway-service:8081/api/summary
spike,proactive,spike,1,23.962,13.217,63.571,118.841,60.0,0,http://gateway-service:8081/api/summary
spike,proactive,low_1,2,17.067,12.638,19.727,95.0,10.0,0,http://gateway-service:8081/api/summary
spike,proactive,low_2,2,21.112,12.82,43.75,99.412,9.998,0,http://gateway-service:8081/api/summary
spike,proactive,spike,2,25.132,13.491,70.0,120.0,59.918,0,http://gateway-service:8081/api/summary
spike,proactive,low_1,3,17.941,12.479,21.333,100.769,9.985,0,http://gateway-service:8081/api/summary
spike,proactive,low_2,3,18.651,12.416,30.0,102.974,10.0,0,http://gateway-service:8081/api/summary
spike,proactive,spike,3,20.506,12.622,51.312,105.714,60.0,0,http://gateway-service:8081/api/summary
spike,reactive,low_1,1,44.717,30.0,98.367,146.667,9.982,0,http://gateway-service:8081/api/summary
spike,reactive,low_2,1,369.782,358.333,590.323,837.5,10.0,0,http://gateway-service:8081/api/summary
spike,reactive,spike,1,170.03,133.545,411.908,524.121,60.0,0,http://gateway-service:8081/api/summary
spike,reactive,low_1,2,182.24,154.118,377.5,783.333,10.0,0,http://gateway-service:8081/api/summary
spike,reactive,low_2,2,56.184,35.833,107.907,268.75,10.0,0,http://gateway-service:8081/api/summary
spike,reactive,spike,2,231.081,221.534,363.869,571.15,60.0,0,http://gateway-service:8081/api/summary
spike,reactive,low_1,3,65.116,54.857,112.754,350.0,9.983,0,http://gateway-service:8081/api/summary
spike,reactive,low_2,3,51.937,43.529,100.4,140.0,9.986,0,http://gateway-service:8081/api/summary
spike,reactive,spike,3,119.604,109.393,227.59,344.538,59.246,0,http://gateway-service:8081/api/summary
