pattern,strategy,segment,reps,p99_mean,p99_std,qps_mean
daynight,baseline,day,3,173.6,48.3,30.0
daynight,baseline,night_1,3,211.3,39.0,10.0
daynight,baseline,night_2,3,135.0,26.0,10.0
daynight,hybrid,day,3,99.5,14.9,30.0
daynight,hybrid,night_1,3,100.7,10.3,10.0
daynight,hybrid,night_2,3,113.0,15.4,10.0
daynight,proactive,day,3,111.0,5.9,30.0
daynight,proactive,night_1,3,127.4,63.0,10.0
daynight,proactive,night_2,3,115.1,58.3,10.0
daynight,reactive,day,3,238.2,54.4,30.0
daynight,reactive,night_1,3,630.1,757.5,10.0
daynight,reactive,night_2,3,178.9,56.7,10.0
spike,baseline,low_1,3,395.1,205.5,10.0
spike,baseline,low_2,3,268.3,98.8,10.0
spike,baseline,spike,3,560.4,93.3,42.0
spike,hybrid,low_1,3,94.0,22.5,10.0
spike,hybrid,low_2,3,112.7,70.2,10.0
spike,hybrid,spike,3,127.8,60.8,60.0
spike,proactive,low_1,3,315.3,376.5,10.0
spike,proactive,low_2,3,92.9,14.4,10.0
spike,proactive,spike,3,114.9,7.9,60.0
spike,reactive,low_1,3,426.7,325.2,10.0
spike,reactive,low_2,3,415.4,371.2,10.0
spike,reactive,spike,3,479.9,119.6,59.7
