NAME                              READY   STATUS              RESTARTS        AGE    IP             NODE       NOMINATED NODE   READINESS GATES
fortio-low-1-b5398cef             0/1     Completed           0               169m   10.244.2.17    minikube   <none>           <none>
fortio-night-1-0d4197ec           0/1     ContainerCreating   0               0s     <none>         minikube   <none>           <none>
fortio-warmup-b6584730            0/1     Error               0               22d    <none>         minikube   <none>           <none>
gateway-service-967d96996-652wb   1/1     Running             3 (5h58m ago)   4d6h   10.244.1.93    minikube   <none>           <none>
gateway-service-967d96996-6q4mk   0/1     ContainerCreating   0               3s     <none>         minikube   <none>           <none>
gateway-service-967d96996-nqbzs   0/1     ContainerCreating   0               3s     <none>         minikube   <none>           <none>
order-service-6957cffc98-d7kdf    0/1     Running             0               3s     10.244.2.230   minikube   <none>           <none>
order-service-6957cffc98-r2np5    1/1     Running             4 (5h58m ago)   22d    10.244.1.95    minikube   <none>           <none>
product-service-bfd76d8d7-qjc46   1/1     Running             4 (5h58m ago)   22d    10.244.1.94    minikube   <none>           <none>
product-service-bfd76d8d7-rvzdk   0/1     ContainerCreating   0               3s     <none>         minikube   <none>           <none>
