NAME                              READY   STATUS      RESTARTS       AGE     IP             NODE       NOMINATED NODE   READINESS GATES
fortio-low-1-b5398cef             0/1     Completed   0              3h      10.244.2.17    minikube   <none>           <none>
fortio-night-2-f960c45e           0/1     Completed   0              69s     10.244.2.250   minikube   <none>           <none>
fortio-warmup-b6584730            0/1     Error       0              22d     <none>         minikube   <none>           <none>
gateway-service-967d96996-652wb   1/1     Running     3 (6h9m ago)   4d6h    10.244.1.93    minikube   <none>           <none>
gateway-service-967d96996-mxrpk   1/1     Running     0              3m6s    10.244.2.247   minikube   <none>           <none>
gateway-service-967d96996-phk6p   1/1     Running     0              2m5s    10.244.2.249   minikube   <none>           <none>
gateway-service-967d96996-s4x9r   1/1     Running     0              5m38s   10.244.2.242   minikube   <none>           <none>
gateway-service-967d96996-vm7pt   1/1     Running     0              5m38s   10.244.2.243   minikube   <none>           <none>
gateway-service-967d96996-zg5xn   1/1     Running     0              3m6s    10.244.2.246   minikube   <none>           <none>
order-service-6957cffc98-g27gt    1/1     Running     0              5m38s   10.244.2.241   minikube   <none>           <none>
order-service-6957cffc98-r2np5    1/1     Running     4 (6h9m ago)   22d     10.244.1.95    minikube   <none>           <none>
order-service-6957cffc98-x55c6    0/1     Running     0              63s     10.244.2.252   minikube   <none>           <none>
product-service-bfd76d8d7-chqf4   1/1     Running     0              5m38s   10.244.2.244   minikube   <none>           <none>
product-service-bfd76d8d7-nqfmb   0/1     Running     0              64s     10.244.2.251   minikube   <none>           <none>
product-service-bfd76d8d7-qjc46   1/1     Running     4 (6h9m ago)   22d     10.244.1.94    minikube   <none>           <none>
