NAME                              READY   STATUS              RESTARTS        AGE     IP             NODE       NOMINATED NODE   READINESS GATES
fortio-day-1a69bfc0               0/1     ContainerCreating   0               1s      <none>         minikube   <none>           <none>
fortio-low-1-b5398cef             0/1     Completed           0               3h5m    10.244.2.17    minikube   <none>           <none>
fortio-warmup-b6584730            0/1     Error               0               22d     <none>         minikube   <none>           <none>
gateway-service-967d96996-652wb   1/1     Running             3 (6h13m ago)   4d6h    10.244.1.93    minikube   <none>           <none>
gateway-service-967d96996-fbl2x   1/1     Running             0               3m13s   10.244.2.255   minikube   <none>           <none>
gateway-service-967d96996-k64t9   0/1     Running             0               11s     10.244.3.5     minikube   <none>           <none>
gateway-service-967d96996-n8ghf   1/1     Running             0               3m13s   10.244.3.1     minikube   <none>           <none>
gateway-service-967d96996-w7j6b   0/1     Running             0               11s     10.244.3.6     minikube   <none>           <none>
gateway-service-967d96996-wp9cn   0/1     Running             0               11s     10.244.3.4     minikube   <none>           <none>
order-service-6957cffc98-9cmlb    1/1     Running             0               3m13s   10.244.2.254   minikube   <none>           <none>
order-service-6957cffc98-r2np5    1/1     Running             4 (6h13m ago)   22d     10.244.1.95    minikube   <none>           <none>
product-service-bfd76d8d7-csffq   1/1     Running             0               3m13s   10.244.3.0     minikube   <none>           <none>
product-service-bfd76d8d7-qjc46   1/1     Running             4 (6h13m ago)   22d     10.244.1.94    minikube   <none>           <none>
