NAME                               READY   STATUS      RESTARTS        AGE     IP             NODE       NOMINATED NODE   READINESS GATES
fortio-low-1-b5398cef              0/1     Completed   0               3h9m    10.244.2.17    minikube   <none>           <none>
fortio-night-2-attempt3-72901465   0/1     Completed   0               67s     10.244.3.11    minikube   <none>           <none>
fortio-warmup-b6584730             0/1     Error       0               22d     <none>         minikube   <none>           <none>
gateway-service-967d96996-652wb    1/1     Running     3 (6h17m ago)   4d6h    10.244.1.93    minikube   <none>           <none>
gateway-service-967d96996-fbl2x    1/1     Running     0               7m14s   10.244.2.255   minikube   <none>           <none>
gateway-service-967d96996-k64t9    1/1     Running     0               4m12s   10.244.3.5     minikube   <none>           <none>
gateway-service-967d96996-n8ghf    1/1     Running     0               7m14s   10.244.3.1     minikube   <none>           <none>
gateway-service-967d96996-w7j6b    1/1     Running     0               4m12s   10.244.3.6     minikube   <none>           <none>
gateway-service-967d96996-wp9cn    1/1     Running     0               4m12s   10.244.3.4     minikube   <none>           <none>
order-service-6957cffc98-9cmlb     1/1     Running     0               7m14s   10.244.2.254   minikube   <none>           <none>
order-service-6957cffc98-r2np5     1/1     Running     4 (6h17m ago)   22d     10.244.1.95    minikube   <none>           <none>
product-service-bfd76d8d7-csffq    1/1     Running     0               7m14s   10.244.3.0     minikube   <none>           <none>
product-service-bfd76d8d7-ltb7g    1/1     Running     0               2m5s    10.244.3.8     minikube   <none>           <none>
product-service-bfd76d8d7-qjc46    1/1     Running     4 (6h17m ago)   22d     10.244.1.94    minikube   <none>           <none>
