NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   37m          242Mi           
gateway-service-967d96996-b4b4w   370m         162Mi           
gateway-service-967d96996-c9hmn   363m         171Mi           
gateway-service-967d96996-d2m2g   237m         167Mi           
order-service-6957cffc98-nxkmf    84m          134Mi           
order-service-6957cffc98-pbswg    171m         143Mi           
order-service-6957cffc98-r2np5    17m          205Mi           
product-service-bfd76d8d7-7d4n6   41m          138Mi           
product-service-bfd76d8d7-fpcgb   166m         140Mi           
product-service-bfd76d8d7-qjc46   24m          197Mi           
