NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   6m           242Mi           
gateway-service-967d96996-8x45t   109m         150Mi           
gateway-service-967d96996-bv6dm   117m         152Mi           
gateway-service-967d96996-vhsg5   106m         152Mi           
order-service-6957cffc98-2qlj2    66m          129Mi           
order-service-6957cffc98-r2np5    4m           205Mi           
order-service-6957cffc98-xg48k    57m          134Mi           
product-service-bfd76d8d7-qjc46   5m           197Mi           
product-service-bfd76d8d7-qk5x8   81m          132Mi           
product-service-bfd76d8d7-s7pgt   70m          132Mi           
