NAME                              CPU(cores)   MEMORY(bytes)   
gateway-service-967d96996-652wb   3m           241Mi           
gateway-service-967d96996-8x45t   238m         130Mi           
gateway-service-967d96996-bv6dm   216m         129Mi           
gateway-service-967d96996-vhsg5   236m         123Mi           
order-service-6957cffc98-2qlj2    231m         121Mi           
order-service-6957cffc98-r2np5    3m           205Mi           
order-service-6957cffc98-xg48k    233m         124Mi           
product-service-bfd76d8d7-qjc46   5m           197Mi           
product-service-bfd76d8d7-qk5x8   231m         117Mi           
product-service-bfd76d8d7-s7pgt   233m         116Mi           
