NAME                              READY   STATUS              RESTARTS        AGE     IP            NODE       NOMINATED NODE   READINESS GATES
fortio-low-1-42d53976             0/1     ContainerCreating   0               1s      <none>        minikube   <none>           <none>
fortio-low-1-b5398cef             0/1     Completed           0               18m     10.244.2.17   minikube   <none>           <none>
fortio-warmup-b6584730            0/1     Error               0               22d     <none>        minikube   <none>           <none>
gateway-service-967d96996-652wb   1/1     Running             3 (3h26m ago)   4d3h    10.244.1.93   minikube   <none>           <none>
gateway-service-967d96996-hrn59   1/1     Running             3 (84s ago)     9m40s   10.244.2.34   minikube   <none>           <none>
gateway-service-967d96996-hskgr   1/1     Running             3 (83s ago)     9m40s   10.244.2.35   minikube   <none>           <none>
gateway-service-967d96996-rdvz8   1/1     Running             3 (83s ago)     9m40s   10.244.2.33   minikube   <none>           <none>
order-service-6957cffc98-bfb9b    1/1     Running             2 (4m ago)      9m39s   10.244.2.36   minikube   <none>           <none>
order-service-6957cffc98-r2np5    1/1     Running             4 (3h26m ago)   22d     10.244.1.95   minikube   <none>           <none>
order-service-6957cffc98-xglrb    1/1     Running             2 (4m1s ago)    9m39s   10.244.2.37   minikube   <none>           <none>
product-service-bfd76d8d7-gdrwv   1/1     Running             2 (4m2s ago)    9m39s   10.244.2.38   minikube   <none>           <none>
product-service-bfd76d8d7-nmxd9   1/1     Running             1 (6m47s ago)   9m39s   10.244.2.39   minikube   <none>           <none>
product-service-bfd76d8d7-qjc46   1/1     Running             4 (3h26m ago)   22d     10.244.1.94   minikube   <none>           <none>
