pattern,strategy,rep,segment,qps_req,qps_act,count,avg_ms,p50_ms,p90_ms,p99_ms,max_ms,code200,errors,start,file
daynight,baseline,rep1,day,30,29.967,2700,54.626,62.915,99.966,157.5,375.579,2700,0,2026-03-30T23:10:10.843698535Z,daynight\baseline\rep1\fortio_day.json
daynight,baseline,rep1,night_1,10,9.985,600,69.415,75.641,112.0,188.951,195.664,600,0,2026-03-30T23:09:01.525734501Z,daynight\baseline\rep1\fortio_night_1.json
daynight,baseline,rep1,night_2,10,9.984,600,50.611,57.2,99.077,119.2,142.985,600,0,2026-03-30T23:11:49.283411262Z,daynight\baseline\rep1\fortio_night_2.json
daynight,baseline,rep1,warmup,10,9.905,100,70.155,78.462,114.667,189.372,194.058,100,0,2026-03-30T23:08:41.86400082Z,daynight\baseline\rep1\fortio_warmup.json
daynight,baseline,rep2,day,30,29.967,2700,55.907,56.154,99.301,190.435,1599.667,2700,0,2026-03-30T23:14:27.257138437Z,daynight\baseline\rep2\fortio_day.json
daynight,baseline,rep2,night_1,10,9.983,600,48.856,53.2,99.153,108.213,109.218,600,0,2026-03-30T23:13:18.664280165Z,daynight\baseline\rep2\fortio_night_1.json
daynight,baseline,rep2,night_2,10,9.983,600,47.595,50.0,97.969,108.138,109.329,600,0,2026-03-30T23:16:06.388639762Z,daynight\baseline\rep2\fortio_night_2.json
daynight,baseline,rep2,warmup,10,9.905,100,54.601,60.909,102.222,183.371,186.743,100,0,2026-03-30T23:12:59.724369539Z,daynight\baseline\rep2\fortio_warmup.json
daynight,baseline,rep3,day,30,29.967,2700,44.786,15.943,95.709,113.385,116.023,2700,0,2026-03-30T23:18:44.63389152Z,daynight\baseline\rep3\fortio_day.json
daynight,baseline,rep3,night_1,10,9.984,600,49.046,52.4,98.095,119.091,192.098,600,0,2026-03-30T23:17:35.824544723Z,daynight\baseline\rep3\fortio_night_1.json
daynight,baseline,rep3,night_2,10,9.983,600,46.243,18.0,97.447,108.582,109.808,600,0,2026-03-30T23:20:22.753314337Z,daynight\baseline\rep3\fortio_night_2.json
daynight,baseline,rep3,warmup,10,9.902,100,47.773,14.8,99.167,144.02,145.025,100,0,2026-03-30T23:17:17.820620961Z,daynight\baseline\rep3\fortio_warmup.json
daynight,hybrid,rep1,day,30,23.971,2171,284.049,202.104,646.232,1716.301,2292.009,2171,0,2026-03-31T02:52:33.993102494Z,daynight\hybrid\rep1\fortio_day.json
daynight,hybrid,rep1,night_1,10,9.99,600,127.467,109.143,290.0,450.0,598.564,600,0,2026-03-31T02:51:22.72588456Z,daynight\hybrid\rep1\fortio_night_1.json
daynight,hybrid,rep1,night_2,10,9.967,600,322.073,320.968,632.5,869.231,1011.495,600,0,2026-03-31T02:54:41.362287042Z,daynight\hybrid\rep1\fortio_night_2.json
daynight,hybrid,rep1,warmup,10,9.914,100,56.032,61.0,99.231,187.575,189.09,100,0,2026-03-31T02:43:01.214707109Z,daynight\hybrid\rep1\fortio_warmup.json
daynight,hybrid,rep2,day,30,26.873,2424,343.104,317.203,567.835,925.067,3207.111,2422,2,2026-03-31T02:59:34.641036483Z,daynight\hybrid\rep2\fortio_day.json
daynight,hybrid,rep2,night_1,10,9.965,600,91.776,88.261,183.333,275.0,303.392,600,0,2026-03-31T02:58:22.747328424Z,daynight\hybrid\rep2\fortio_night_1.json
daynight,hybrid,rep2,night_2,10,9.854,600,280.746,274.138,507.5,760.0,889.075,600,0,2026-03-31T03:01:15.660669767Z,daynight\hybrid\rep2\fortio_night_2.json
daynight,hybrid,rep2,warmup,10,9.899,100,65.915,70.909,113.333,160.0,196.112,100,0,2026-03-31T02:56:22.61713138Z,daynight\hybrid\rep2\fortio_warmup.json
daynight,hybrid,rep3,day,30,16.947,1532,583.813,532.889,988.923,1913.846,2107.715,1532,0,2026-03-31T03:06:40.730987511Z,daynight\hybrid\rep3\fortio_day.json
daynight,hybrid,rep3,night_1,10,9.944,600,181.337,186.292,309.756,462.5,539.291,600,0,2026-03-31T03:05:18.694058285Z,daynight\hybrid\rep3\fortio_night_1.json
daynight,hybrid,rep3,night_2,10,9.965,600,229.858,193.469,517.241,813.294,893.056,600,0,2026-03-31T03:09:27.818409938Z,daynight\hybrid\rep3\fortio_night_2.json
daynight,hybrid,rep3,warmup,10,9.932,100,69.253,74.0,118.182,169.34,170.507,100,0,2026-03-31T03:02:55.955497137Z,daynight\hybrid\rep3\fortio_warmup.json
daynight,proactive,rep1,day,30,29.61,2671,253.466,231.506,447.79,786.45,1398.869,2671,0,2026-03-31T00:45:23.697017587Z,daynight\proactive\rep1\fortio_day.json
daynight,proactive,rep1,night_1,10,9.966,600,235.558,207.317,437.931,740.0,1085.849,600,0,2026-03-31T00:44:13.573798092Z,daynight\proactive\rep1\fortio_night_1.json
daynight,proactive,rep1,night_2,10,9.989,600,65.306,72.951,111.111,222.222,298.408,600,0,2026-03-31T00:47:12.876789811Z,daynight\proactive\rep1\fortio_night_2.json
daynight,proactive,rep1,warmup,10,9.906,100,77.576,79.412,117.0,192.671,194.783,100,0,2026-03-31T00:35:32.701913552Z,daynight\proactive\rep1\fortio_warmup.json
daynight,proactive,rep2,day,30,28.639,2583,311.92,301.575,506.429,697.141,990.545,2583,0,2026-03-31T00:54:18.002598394Z,daynight\proactive\rep2\fortio_day.json
daynight,proactive,rep2,night_2,10,9.982,600,64.92,71.972,110.667,192.674,199.588,600,0,2026-03-31T00:56:03.019588018Z,daynight\proactive\rep2\fortio_night_2.json
daynight,proactive,rep2,warmup,10,9.907,100,67.956,76.25,114.286,191.9,195.866,100,0,2026-03-31T00:48:36.286708761Z,daynight\proactive\rep2\fortio_warmup.json
daynight,proactive,rep3,day,30,29.963,2700,91.632,80.642,183.611,379.167,605.65,2700,0,2026-03-31T01:07:43.761314976Z,daynight\proactive\rep3\fortio_day.json
daynight,proactive,rep3,night_1,10,9.966,600,168.242,173.333,283.065,425.0,504.46,600,0,2026-03-31T01:06:34.671807338Z,daynight\proactive\rep3\fortio_night_1.json
daynight,proactive,rep3,night_2,10,9.988,600,49.503,52.0,98.475,135.0,182.91,600,0,2026-03-31T01:09:26.331999974Z,daynight\proactive\rep3\fortio_night_2.json
daynight,proactive,rep3,warmup,10,9.909,100,79.163,76.154,181.243,192.432,193.675,100,0,2026-03-31T00:57:25.815315478Z,daynight\proactive\rep3\fortio_warmup.json
daynight,reactive,rep1,day,30,29.966,2700,79.59,78.172,134.483,335.294,1829.512,2700,0,2026-03-30T23:35:49.479483369Z,daynight\reactive\rep1\fortio_day.json
daynight,reactive,rep1,night_1,10,9.983,600,62.49,72.533,108.046,150.0,179.229,600,0,2026-03-30T23:34:40.603007175Z,daynight\reactive\rep1\fortio_night_1.json
daynight,reactive,rep1,night_2,10,9.984,600,103.543,81.538,231.579,466.667,597.289,600,0,2026-03-30T23:37:32.674514463Z,daynight\reactive\rep1\fortio_night_2.json
daynight,reactive,rep1,warmup,10,9.898,100,81.891,82.5,117.333,213.455,216.819,100,0,2026-03-30T23:34:21.815571278Z,daynight\reactive\rep1\fortio_warmup.json
daynight,reactive,rep2,day,30,29.899,2700,69.588,74.536,114.3,243.75,309.276,2700,0,2026-03-30T23:40:35.485386677Z,daynight\reactive\rep2\fortio_day.json
daynight,reactive,rep2,night_1,10,9.984,600,62.095,72.105,104.615,166.667,201.718,600,0,2026-03-30T23:39:26.933707311Z,daynight\reactive\rep2\fortio_night_1.json
daynight,reactive,rep2,night_2,10,9.951,600,290.723,207.843,750.0,1308.1,1492.96,600,0,2026-03-30T23:43:09.225158972Z,daynight\reactive\rep2\fortio_night_2.json
daynight,reactive,rep2,warmup,10,9.902,100,74.232,80.0,114.286,202.004,204.009,100,0,2026-03-30T23:39:07.351166173Z,daynight\reactive\rep2\fortio_warmup.json
daynight,reactive,rep3,day,30,29.965,2700,61.029,21.471,113.743,305.882,2218.811,2700,0,2026-03-30T23:46:10.433619065Z,daynight\reactive\rep3\fortio_day.json
daynight,reactive,rep3,night_1,10,9.983,600,53.868,63.77,100.0,119.286,151.481,600,0,2026-03-30T23:45:00.921217576Z,daynight\reactive\rep3\fortio_night_1.json
daynight,reactive,rep3,warmup,10,9.896,100,53.437,62.222,101.77,107.078,107.668,100,0,2026-03-30T23:44:41.921903571Z,daynight\reactive\rep3\fortio_warmup.json
spike,baseline,rep1,low_1,10,9.989,600,59.832,68.382,106.97,177.778,198.931,600,0,2026-03-30T22:58:53.906760657Z,spike\baseline\rep1\fortio_low_1.json
spike,baseline,rep1,low_2,10,9.983,600,69.366,76.667,112.527,202.895,211.579,600,0,2026-03-30T23:00:46.20297062Z,spike\baseline\rep1\fortio_low_2.json
spike,baseline,rep1,spike,60,59.801,1800,83.245,80.479,154.857,273.077,402.653,1800,0,2026-03-30T23:00:03.216204446Z,spike\baseline\rep1\fortio_spike.json
spike,baseline,rep1,warmup,10,9.899,100,76.495,74.0,160.0,196.449,198.276,100,0,2026-03-31T00:01:11.381541744Z,spike\baseline\rep1\fortio_warmup.json
spike,baseline,rep2,low_1,10,9.982,600,60.386,68.793,106.914,160.0,205.899,600,0,2026-03-30T23:02:20.381277797Z,spike\baseline\rep2\fortio_low_1.json
spike,baseline,rep2,low_2,10,9.983,600,62.714,73.656,106.857,180.0,217.505,600,0,2026-03-30T23:04:08.027023736Z,spike\baseline\rep2\fortio_low_2.json
spike,baseline,rep2,spike,60,59.799,1800,70.407,68.141,141.304,263.636,375.044,1800,0,2026-03-30T23:03:29.628787657Z,spike\baseline\rep2\fortio_spike.json
spike,baseline,rep2,warmup,10,9.932,100,58.586,64.615,110.0,166.026,168.035,100,0,2026-03-30T23:02:01.071017754Z,spike\baseline\rep2\fortio_warmup.json
spike,baseline,rep3,low_1,10,9.983,600,53.569,63.729,101.668,114.536,115.966,600,0,2026-03-30T23:05:38.917298949Z,spike\baseline\rep3\fortio_low_1.json
spike,baseline,rep3,low_2,10,9.983,600,68.144,76.506,110.526,185.714,201.01,600,0,2026-03-30T23:07:28.482866288Z,spike\baseline\rep3\fortio_low_2.json
spike,baseline,rep3,spike,60,59.798,1800,120.335,116.0,202.252,335.0,454.104,1800,0,2026-03-30T23:06:48.689095606Z,spike\baseline\rep3\fortio_spike.json
spike,baseline,rep3,warmup,10,9.897,100,54.392,60.0,102.82,106.445,106.848,100,0,2026-03-30T23:05:20.664648968Z,spike\baseline\rep3\fortio_warmup.json
spike,hybrid,rep1,low_1,10,9.977,600,71.637,76.25,118.018,218.825,247.063,600,0,2026-03-31T02:28:23.170010682Z,spike\hybrid\rep1\fortio_low_1.json
spike,hybrid,rep1,low_2,10,9.982,600,244.2,224.699,442.0,755.556,808.031,600,0,2026-03-31T02:30:16.799906247Z,spike\hybrid\rep1\fortio_low_2.json
spike,hybrid,rep1,spike,60,42.331,1276,221.502,218.13,364.878,530.286,692.197,1276,0,2026-03-31T02:29:31.337306577Z,spike\hybrid\rep1\fortio_spike.json
spike,hybrid,rep1,warmup,10,9.806,100,67.922,72.0,114.286,193.926,196.712,100,0,2026-03-31T02:26:14.799582289Z,spike\hybrid\rep1\fortio_warmup.json
spike,hybrid,rep2,low_1,10,9.953,600,136.792,117.778,277.381,421.429,484.54,600,0,2026-03-31T02:33:44.027802103Z,spike\hybrid\rep2\fortio_low_1.json
spike,hybrid,rep2,low_2,10,9.968,600,96.266,84.912,206.452,625.0,788.803,600,0,2026-03-31T02:36:01.664023312Z,spike\hybrid\rep2\fortio_low_2.json
spike,hybrid,rep2,spike,60,22.966,698,429.924,409.231,682.4,980.2,1299.737,698,0,2026-03-31T02:35:08.003456458Z,spike\hybrid\rep2\fortio_spike.json
spike,hybrid,rep2,warmup,10,9.912,100,52.851,40.0,98.824,187.147,190.721,100,0,2026-03-31T02:31:49.922846413Z,spike\hybrid\rep2\fortio_warmup.json
spike,hybrid,rep3,low_1,10,9.984,600,94.542,77.037,213.889,322.222,384.027,600,0,2026-03-31T02:39:40.551248121Z,spike\hybrid\rep3\fortio_low_1.json
spike,hybrid,rep3,low_2,10,9.981,600,113.804,94.032,240.278,412.5,491.425,600,0,2026-03-31T02:41:29.474851098Z,spike\hybrid\rep3\fortio_low_2.json
spike,hybrid,rep3,spike,60,32.316,976,303.715,291.322,494.865,692.667,902.479,976,0,2026-03-31T02:40:49.011539884Z,spike\hybrid\rep3\fortio_spike.json
spike,hybrid,rep3,warmup,10,9.904,100,55.236,61.818,104.444,190.365,195.548,100,0,2026-03-31T02:37:34.247610425Z,spike\hybrid\rep3\fortio_warmup.json
spike,proactive,rep1,low_1,10,9.952,600,250.355,251.724,392.857,650.0,704.279,600,0,2026-03-31T00:06:40.853137964Z,spike\proactive\rep1\fortio_low_1.json
spike,proactive,rep1,low_2,10,9.989,600,62.401,68.03,106.429,275.0,390.141,600,0,2026-03-31T00:08:37.278953134Z,spike\proactive\rep1\fortio_low_2.json
spike,proactive,rep1,warmup,10,9.903,100,71.698,75.455,116.667,193.19,195.074,100,0,2026-03-31T00:03:17.956820373Z,spike\proactive\rep1\fortio_warmup.json
spike,proactive,rep2,low_2,10,9.983,600,78.373,80.308,117.391,300.0,366.126,600,0,2026-03-31T00:22:20.742552279Z,spike\proactive\rep2\fortio_low_2.json
spike,proactive,rep2,spike,60,25.702,775,385.879,359.737,638.393,931.25,1287.532,775,0,2026-03-31T00:21:34.642697395Z,spike\proactive\rep2\fortio_spike.json
spike,proactive,rep2,warmup,10,9.903,100,67.961,76.923,112.222,188.813,193.22,100,0,2026-03-31T00:10:00.469512743Z,spike\proactive\rep2\fortio_warmup.json
spike,proactive,rep3,low_1,10,9.965,600,291.921,272.973,476.316,703.273,713.094,600,0,2026-03-31T00:32:14.61311679Z,spike\proactive\rep3\fortio_low_1.json
spike,proactive,rep3,low_2,10,9.989,600,58.235,69.0,101.846,116.084,117.666,600,0,2026-03-31T00:34:10.035117531Z,spike\proactive\rep3\fortio_low_2.json
spike,proactive,rep3,spike,60,29.205,882,339.675,328.049,490.779,689.294,805.95,882,0,2026-03-31T00:33:24.559571746Z,spike\proactive\rep3\fortio_spike.json
spike,proactive,rep3,warmup,10,9.904,100,68.354,76.154,114.444,189.66,194.491,100,0,2026-03-31T00:23:43.609560171Z,spike\proactive\rep3\fortio_warmup.json
spike,reactive,rep1,low_1,10,9.982,600,57.537,65.873,104.516,193.333,209.538,600,0,2026-03-30T23:22:27.453516252Z,spike\reactive\rep1\fortio_low_1.json
spike,reactive,rep1,low_2,10,9.981,600,102.854,85.441,209.091,528.571,653.335,600,0,2026-03-30T23:24:24.146041276Z,spike\reactive\rep1\fortio_low_2.json
spike,reactive,rep1,spike,60,58.687,1777,92.99,91.034,175.544,275.575,397.236,1777,0,2026-03-30T23:23:36.991944074Z,spike\reactive\rep1\fortio_spike.json
spike,reactive,rep1,warmup,10,9.908,100,55.416,61.111,112.0,189.949,193.265,100,0,2026-03-30T23:22:08.175333233Z,spike\reactive\rep1\fortio_warmup.json
spike,reactive,rep2,low_1,10,9.984,600,57.91,66.286,104.857,183.333,200.91,600,0,2026-03-30T23:26:18.013304112Z,spike\reactive\rep2\fortio_low_1.json
spike,reactive,rep2,low_2,10,9.967,600,306.833,267.568,594.118,786.667,803.494,600,0,2026-03-30T23:28:10.242022601Z,spike\reactive\rep2\fortio_low_2.json
spike,reactive,rep2,spike,60,59.796,1800,59.869,65.101,105.38,146.364,163.402,1800,0,2026-03-30T23:27:27.276571642Z,spike\reactive\rep2\fortio_spike.json
spike,reactive,rep2,warmup,10,9.896,100,65.7,71.667,114.286,146.6,147.921,100,0,2026-03-30T23:25:58.720285894Z,spike\reactive\rep2\fortio_warmup.json
spike,reactive,rep3,low_1,10,9.983,600,61.64,70.933,107.949,164.0,184.128,600,0,2026-03-30T23:30:10.748727747Z,spike\reactive\rep3\fortio_low_1.json
spike,reactive,rep3,low_2,10,9.97,600,457.179,448.438,832.609,1378.118,1702.219,600,0,2026-03-30T23:32:49.686654908Z,spike\reactive\rep3\fortio_low_2.json
spike,reactive,rep3,spike,60,58.932,1774,108.789,101.538,196.42,311.3,473.457,1774,0,2026-03-30T23:31:20.413007557Z,spike\reactive\rep3\fortio_spike.json
spike,reactive,rep3,warmup,10,9.934,100,91.234,85.0,180.0,288.47,298.088,100,0,2026-03-30T23:29:50.897648923Z,spike\reactive\rep3\fortio_warmup.json
